Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
96 liver 1 16 2 3 4 2 2 5 6 7 8 2 9 10 11 12 2 2 13 7 7 8 14 15 
97.1 long1 1 2 3 4 5 6 6 6 6 7 8 7 9 10 5 6 6 11 7 7 7 12 13 14 
97.2 long2 1 2 3 4 5 6 6 6 15 7 8 7 9 10 5 6 15 11 7 7 7 12 13 14 
98 louse 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 10 19 20 
101 meat 1 2 3 2 2 2 4 2 2 5 6 7 8 9 10 11 2 12 2 13 5 14 15 16 
103 mother 1 2 2 3 2 2 2 2 2 2 2 2 1 1 2 2 2 2 4 2 2 5 2 2 
104.1 mountain1 1 2 3 4 5 6 6 6 7 8 9 10 11 12 5 13 14 7 15 16 8 10 17 18 
104.2 mountain2 1 2 3 4 5 6 6 19 7 8 9 10 11 12 5 13 14 7 15 16 8 20 17 18 
105 mouth 1 2 3 4 5 1 1 6 7 8 9 1 1 10 5 11 6 12 8 8 8 9 13 14 
106.1 name1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 
106.2 name2 3 1 1 1 1 1 1 1 2 1 1 1 4 4 1 1 1 2 1 1 1 1 1 1 
108 near 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 7 16 17 10 10 10 18 19 19 
112 nose 1 2 3 4 5 6 6 6 6 6 7 6 8 9 5 6 6 10 11 6 6 12 13 14 
113 not 1 2 2 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 4 1 1 1 1 
115 one 1 2 2 2 2 9 10 3 4 11 11 11 5 6 2 10 11 4 11 11 11 11 7 8 
116 other 1 2 2 3 2 4 4 5 6 10 2 2 7 8 2 4 6 6 10 10 10 2 2 9 
118 pierce 1 2 3 4 5 6 7 8 9 10 11 8 12 13 5 14 8 9 15 16 17 18 19 20 
119 play 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
121 push 1 2 3 4 5 5 6 7 8 9 10 11 12 13 5 14 15 8 9 9 9 16 17 18  
122.1 rain1 1 2 3 3 3 4 5 6 7 8 9 10 11 12 3 13 14 7 8 8 8 15 16 17 
122.2 rain2 1 2 3 3 18 4 5 6 7 8 9 10 11 12 18 13 14 7 8 8 8 15 16 17 
